"Article_text_name","Article_heading","Article_data"
"Комитет Госдумы по развитию Дальнего Востока и Арктики поддержал кандидатуры Юрия Трутнева на должность заместителя председателя правительства — полномочного представителя президента в ДФО — и Алексея Чекункова на пост министра по развитию Дальнего Востока и Арктики и рекомендовал их Госдуме для утверждения. Об этом сообщили РБК в пресс-службе вице-премьера.","Комитет Госдумы поддержал кандидатуры Трутнева и Чекункова","12 мая, 16:37"
"«Решение комитета принято единогласно», — заявил председатель комитета Госдумы Николай Харитонов. Заместитель председателя, вице-спикер Госдумы Ирина Яровая добавила, что Трутнев и Чекунков «всем делом своей жизни подтвердили, что нет задач формальных, все задачи сущностные».","Комитет Госдумы поддержал кандидатуры Трутнева и Чекункова","12 мая, 16:37"
"Чекунков, выступая на заседании комитета, заявил, что главная задача — это обеспечить жителям Дальнего Востока «комфортную, счастливую и интересную жизнь в условиях, когда объективные параметры жизни, климатические, инфраструктурные, уровень цен не всегда выгодно сравнимы с условиями жизни в европейской России». Трутнев сказал, что постарается «добиться лучших результатов в самое ближайшее время».","Комитет Госдумы поддержал кандидатуры Трутнева и Чекункова","12 мая, 16:37"
"Трутнев — полпред президента в Дальневосточном федеральном округе, бывший губернатор Пермской области и экс-министр природных ресурсов России. С 2013 года занимает пост вице-премьера.","Комитет Госдумы поддержал кандидатуры Трутнева и Чекункова","12 мая, 16:37"
"Чекунков — министр по развитию Дальнего Востока и Арктики. С февраля 2015 года входит в состав Правительственной комиссии по вопросам социально-экономического развития Дальнего Востока.","Комитет Госдумы поддержал кандидатуры Трутнева и Чекункова","12 мая, 16:37"
"Во время сигнала о ракетной опасности в Белгороде прозвучали новые взрывы, сообщают ТАСС и «РИА Новости» со ссылкой на корреспондентов.","В Белгороде раздались новые взрывы","12 мая, 16:35"
"В очередной раз сирена ракетной опасности прозвучала в Белгороде и Белгородском районе в 16:03 мск. До этого, с начала суток, тревога объявлялась в городе по меньшей мере шесть раз.","В Белгороде раздались новые взрывы","12 мая, 16:35"
"Днем после очередного обстрела Белгорода фрагмент сбитой ракеты комплекса «Точка-У» упал на жилой дом в районе «Харьковская гора». В результате обрушился подъезд жилого дома от первого до десятого этажа. Позже, во время проведения спасательных работ, обрушилась и кровля здания.","В Белгороде раздались новые взрывы","12 мая, 16:35"
"По последним данным, пострадали около 20 человек, информации о погибших нет. На месте обрушения продолжаются работы. В МЧС сообщали, что спасательную операцию приходилось несколько раз прерывать из-за объявлявшихся воздушных тревог.","В Белгороде раздались новые взрывы","12 мая, 16:35"
"Публичное обсуждение подходов к изменениям налоговой системы начнется 20 мая на экспертном совете комитета Госдумы по бюджету и налогам, сообщил председатель комитета Андрей Макаров, передает корреспондент РБК. Внесение предложений запланировано на весеннюю сессию.","В Думе назвали срок начала обсуждения изменений в налоговой системе","12 мая, 16:32"
